iata,name,lat,lon
ATL,Hartsfield-Jackson Atlanta International Airport,33.6407,-84.4277
LAX,Los Angeles International Airport,33.9425,-118.4081
ORD,O'Hare International Airport,41.9742,-87.9073
DFW,Dallas/Fort Worth International Airport,32.8998,-97.0403
DEN,Denver International Airport,39.8561,-104.6737
JFK,John F. Kennedy International Airport,40.6413,-73.7781
SFO,San Francisco International Airport,37.6213,-122.3790
SEA,Seattle-Tacoma International Airport,47.4502,-122.3088
LAS,Harry Reid International Airport,36.0840,-115.1537
MCO,Orlando International Airport,28.4294,-81.3089
EWR,Newark Liberty International Airport,40.6895,-74.1745
MIA,Miami International Airport,25.7959,-80.2870
PHX,Phoenix Sky Harbor International Airport,33.4373,-112.0078
IAH,George Bush Intercontinental Airport,29.9902,-95.3368
BOS,Logan International Airport,42.3656,-71.0096
MSP,Minneapolis-Saint Paul International Airport,44.8848,-93.2223
DTW,Detroit Metropolitan Wayne County Airport,42.2124,-83.3534
PHL,Philadelphia International Airport,39.8729,-75.2437
LGA,LaGuardia Airport,40.7773,-73.8726
BWI,Baltimore/Washington International Airport,39.1754,-76.6683
DCA,Ronald Reagan Washington National Airport,38.8512,-77.0402
IAD,Washington Dulles International Airport,38.9531,-77.4565
CLT,Charlotte Douglas International Airport,35.2140,-80.9431
MDW,Chicago Midway International Airport,41.7868,-87.7522
TPA,Tampa International Airport,27.9755,-82.5332
SAN,San Diego International Airport,32.7338,-117.1933
BNA,Nashville International Airport,36.1245,-86.6782
AUS,Austin-Bergstrom International Airport,30.1975,-97.6664
STL,St. Louis Lambert International Airport,38.7487,-90.3700
HOU,Houston William P. Hobby Airport,29.6454,-95.2789
OAK,Oakland International Airport,37.7213,-122.2208
RDU,Raleigh-Durham International Airport,35.8776,-78.7875
MCI,Kansas City International Airport,39.2976,-94.7139
SJC,Norman Y. Mineta San Jose International Airport,37.3626,-121.9290
SMF,Sacramento International Airport,38.6954,-121.5908
PDX,Portland International Airport,45.5898,-122.5951
HNL,Daniel K. Inouye International Airport,21.3187,-157.9224
SAT,San Antonio International Airport,29.5337,-98.4698
CLE,Cleveland Hopkins International Airport,41.4117,-81.8498
PIT,Pittsburgh International Airport,40.4915,-80.2329
IND,Indianapolis International Airport,39.7173,-86.2944
CVG,Cincinnati/Northern Kentucky International Airport,39.0488,-84.6678
CMH,John Glenn Columbus International Airport,39.9980,-82.8919
MKE,General Mitchell International Airport,42.9472,-87.8966
SLC,Salt Lake City International Airport,40.7884,-111.9778
ABQ,Albuquerque International Sunport,35.0402,-106.6090
TUL,Tulsa International Airport,36.1984,-95.8881
OKC,Will Rogers World Airport,35.3931,-97.6007
MSY,Louis Armstrong New Orleans International Airport,29.9934,-90.2580
BHM,Birmingham-Shuttlesworth International Airport,33.5629,-86.7535
MEM,Memphis International Airport,35.0424,-89.9767
LIT,Bill and Hillary Clinton National Airport,34.7294,-92.2243
JAX,Jacksonville International Airport,30.4941,-81.6879
RSW,Southwest Florida International Airport,26.5362,-81.7552
SRQ,Sarasota Bradenton International Airport,27.3954,-82.5544
PBI,Palm Beach International Airport,26.6832,-80.0956
FLL,Fort Lauderdale-Hollywood International Airport,26.0726,-80.1527
TYS,McGhee Tyson Airport,35.8110,-83.9940
CHA,Chattanooga Metropolitan Airport,35.0353,-85.2038
GSP,Greenville-Spartanburg International Airport,34.8957,-82.2190
GSO,Piedmont Triad International Airport,36.0978,-79.9373
RIC,Richmond International Airport,37.5052,-77.3197
ORF,Norfolk International Airport,36.8976,-76.0132
PVD,T.F. Green Airport,41.7272,-71.4282
BDL,Bradley International Airport,41.9389,-72.6832
ALB,Albany International Airport,42.7483,-73.8016
BUF,Buffalo Niagara International Airport,42.9405,-78.7322
ROC,Greater Rochester International Airport,43.1189,-77.6724
SYR,Hancock International Airport,43.1112,-76.1063
PWM,Portland International Jetport,43.6462,-70.3093
BGR,Bangor International Airport,44.8074,-68.8281
MHT,Manchester-Boston Regional Airport,42.9326,-71.4357
ORH,Worcester Regional Airport,42.2673,-71.8757
ACK,Nantucket Memorial Airport,41.2531,-70.0602
HYA,Barnstable Municipal Airport,41.6693,-70.2804
ELM,Elmira/Corning Regional Airport,42.1599,-76.8916
ITH,Ithaca Tompkins Regional Airport,42.4910,-76.4584
SBN,South Bend International Airport,41.7087,-86.3173
GRR,Gerald R. Ford International Airport,42.8808,-85.5228
FNT,Bishop International Airport,42.9654,-83.7436
AZO,Kalamazoo/Battle Creek International Airport,42.2349,-85.5521
MBS,MBS International Airport,43.5329,-84.0796
TVC,Cherry Capital Airport,44.7418,-85.5822
PLN,Pellston Regional Airport,45.5709,-84.7967
CID,The Eastern Iowa Airport,41.8847,-91.7108
DSM,Des Moines International Airport,41.5340,-93.6631
MLI,Quad City International Airport,41.4485,-90.5075
DBQ,Dubuque Regional Airport,42.4020,-90.7093
LSE,La Crosse Regional Airport,43.8790,-91.2557
MSN,Dane County Regional Airport,43.1399,-89.3376
ATW,Appleton International Airport,44.2581,-88.5191
GRB,Green Bay Austin Straubel International Airport,44.4851,-88.1296
FAR,Hector International Airport,46.9207,-96.8158
BIS,Bismarck Municipal Airport,46.7727,-100.7467
GFK,Grand Forks International Airport,47.9493,-97.1761
MOT,Minot International Airport,48.2594,-101.2800
RAP,Rapid City Regional Airport,44.0453,-103.0574
FSD,Sioux Falls Regional Airport,43.5820,-96.7419
OMA,Eppley Airfield,41.3032,-95.8941
LNK,Lincoln Airport,40.8510,-96.7592
ICT,Wichita Dwight D. Eisenhower National Airport,37.6499,-97.4331
